step,execution_bon_16x16_acc,execution_bon_16x16_accumulate_acc,execution_bon_4x4_acc,execution_bon_4x4_accumulate_acc,execution_case_acc,execution_case_accumulate_acc,execution_code_acc,execution_code_accumulate_acc,execution_p_00,execution_p_01_as_logged,recorded_at,reward_case_reward_mean,reward_case_reward_num_groups,reward_case_reward_num_samples,reward_case_reward_std,reward_code_reward_mean,reward_code_reward_num_groups,reward_code_reward_num_samples,reward_code_reward_std,reward_problems_skipped,reward_problems_total,reward_problems_used,reward_reward_mode,reward_rollout_debug_meta_enabled,reward_rollout_debug_meta_max_problems_per_step,reward_rollout_debug_meta_slots_remaining_after_step,reward_rollout_debug_meta_truncate_chars,sampling_mean_case_response_tokens,sampling_mean_code_response_tokens
50,0.26,0.3575,0.27,0.335,0.3766025641025641,0.4315015479876161,0.201875,0.26625,0.08145363408521303,0.34421182266009853,2026-04-03T12:44:23,0.1907,5,624,0.504,0.2662,9,1600,0.4081,0,100,100,gt_based,0,,0,,650.71125,591.0075
51,0.21,0.34045226130653267,0.19,0.2851758793969849,0.3338815789473684,0.44813829787234044,0.17625,0.26303391959798994,0.044152431011826546,0.3791637136782424,2026-04-03T12:52:49,0.1782,7,608,0.4862,0.2667,10,1600,0.3869,0,100,100,gt_based,0,,0,,646.629375,616.389375
52,0.32,0.41625,0.31,0.3925,0.3627450980392157,0.45196015424164526,0.243125,0.314609375,0.062099447513812155,0.31902904204594706,2026-04-03T13:01:03,0.1906,12,816,0.5096,0.3146,4,1600,0.4261,0,100,100,gt_based,0,,0,,651.5725,582.495
53,0.26,0.35,0.21,0.28625,0.2565789473684211,0.3162811387900356,0.175625,0.25625,0.07785642062689585,0.3158307210031348,2026-04-03T13:09:46,0.0997,10,608,0.4188,0.2562,5,1600,0.392,0,100,100,gt_based,0,,0,,685.97125,603.608125
54,0.23,0.336272040302267,0.23,0.3249370277078086,0.34294871794871795,0.42845911949685533,0.19875,0.2859729219143577,0.09078251183514341,0.2919540229885057,2026-04-03T13:18:27,0.2291,12,624,0.4513,0.2909,6,1600,0.3992,0,100,100,gt_based,0,,0,,685.3625,567.94375
55,0.3,0.39,0.26,0.3425,0.3111111111111111,0.37396523178807944,0.18875,0.276953125,0.05671077504725898,0.3279709392838609,2026-04-03T13:27:11,0.1665,8,720,0.4649,0.277,8,1600,0.3996,0,100,100,gt_based,0,,0,,705.905,594.090625
56,0.36,0.43,0.32,0.39,0.37907608695652173,0.4731666666666667,0.234375,0.31578125,0.04387522191224956,0.2536824877250409,2026-04-03T13:35:33,0.2308,7,736,0.5088,0.3158,8,1600,0.4269,0,100,100,gt_based,0,,0,,631.303125,573.075
57,0.29,0.4425,0.29,0.445,0.40767045454545453,0.49623925501432664,0.218125,0.3509375,0.08491794738213077,0.32645301466594245,2026-04-03T13:43:40,0.2343,8,704,0.5277,0.3509,10,1600,0.4163,0,100,100,gt_based,0,,0,,648.21625,567.2725
58,0.43,0.525,0.39,0.4825,0.4068627450980392,0.4639851485148515,0.315625,0.405703125,0.09318541996830428,0.2937946183415706,2026-04-03T13:52:11,0.175,10,816,0.635,0.4057,3,1600,0.4504,0,100,100,gt_based,0,,0,,614.3675,554.419375
59,0.33,0.44640605296343,0.3,0.37957124842370743,0.3638888888888889,0.5005053908355795,0.231875,0.3185687263556116,0.03943452380952381,0.2603092783505154,2026-04-03T14:00:23,0.2112,6,720,0.5029,0.3174,13,1600,0.4228,0,100,100,gt_based,0,,0,,623.11625,586.473125
